mls_number,full_street_address,city,zip_code,latitude,longitude,geocode_status,listing_type,zip_source,audit_status,distance_outside_zip_miles
IG26164136MR,"10251   Angel, LOS ANGELES 91331.0",LOS ANGELES,91331,34.0549076,-118.242643,cached,buy,source_column,outside_zip,15.537859010637048
SR26022546MR,"14458 Brand AVE, SAN FERNANDO 91340",SAN FERNANDO,91340,34.1345332,-118.2550156,,lease,source_column,outside_zip,13.772297144082534
TR25271617MR,"320 A S Lincoln Avenue, MORNINGSIDE PARK 91755",MORNINGSIDE PARK,91755,33.9599876,-118.3265074,,lease,source_column,outside_zip,12.363402328146645
OC26161534MR,"1507   Mission, LOS ANGELES 90047.0",LOS ANGELES,90047,34.1157111,-118.1513546,cached,buy,source_column,outside_zip,12.197501563514153
SR26114937MR,"26844 Albion Way, CANYON COUNTRY 91352",CANYON COUNTRY,91352,34.4153953,-118.4810757,,lease,source_column,outside_zip,11.951491001665584
SR26008965MR,"12867 1/2  Norris AVE, SYLMAR 91384",SYLMAR,91384,34.3027012,-118.4533138,,lease,source_column,outside_zip,11.430939810000925
SR26049795MR,"932 W 74th ST, LOS ANGELES 90717",LOS ANGELES,90717,33.9727735,-118.3035326,,lease,source_column,outside_zip,11.38498799139147
26874937,"11750  W Sunset Blvd #301, Los Angeles 90049.0",Los Angeles,90049,34.0731902,-118.2514331,success,buy,source_column,outside_zip,11.312468452653055
SB25209687MR,"11708 Menlo AVE, HAWTHORNE 90025",HAWTHORNE,90025,33.9236861,-118.3471599,,lease,source_column,outside_zip,9.56173475104207
TR26138619MR,"4339 Normal  #6, LOS ANGELES 90029",LOS ANGELES,90029,33.9892787,-118.1640088,,lease,source_column,outside_zip,9.464634091612886
PW26162798MR,"3203   E Avenue S3, PALMDALE 93550.0",PALMDALE,93550,34.6233004,-117.8944705,success,buy,source_column,outside_zip,8.84978091499487
SR26074697MR,"2718  E  Avenue, PALMDALE 93550.0",PALMDALE,93550,34.6233004,-117.8944705,,buy,source_column,outside_zip,8.84978091499487
